Qty,Populate,Refs,Value,Footprint,MPN,Manufacturer,Second source,Sourcing status,Notes
1,yes,C1,22uF/6.3V X5R,C_0805_2012Metric,,,,generic specification; purchasing must qualify exact MPN,"ESP32 bulk, >=10uF required by Espressif"
1,yes,C2,100nF/16V X7R,C_0402_1005Metric,,,,generic specification; purchasing must qualify exact MPN,ESP32 HF decoupling
1,yes,C3,1uF/16V X7R,C_0402_1005Metric,,,,generic specification; purchasing must qualify exact MPN,ESP32 mid-frequency decoupling
1,yes,C4,1uF/16V X7R,C_0402_1005Metric,,,,generic specification; purchasing must qualify exact MPN,EN RC delay (~10 ms)
1,yes,C5,100nF/16V X7R,C_0402_1005Metric,,,,generic specification; purchasing must qualify exact MPN,SW1 debounce
1,yes,C6,100nF/16V X7R,C_0402_1005Metric,,,,generic specification; purchasing must qualify exact MPN,sensor VDD decoupling - ONLY passive on the island
1,yes,C7,4.7uF/10V X5R,C_0603_1608Metric,,,,generic specification; purchasing must qualify exact MPN,buck input - 4.7 uF required at VIN
1,yes,C8,10uF/6.3V X5R,C_0603_1608Metric,,,,generic specification; purchasing must qualify exact MPN,buck output
1,yes,C9,10uF/16V X5R,C_0805_2012Metric,,,,generic specification; purchasing must qualify exact MPN,charger IN bypass
1,yes,C10,10uF/6.3V X5R,C_0805_2012Metric,,,,generic specification; purchasing must qualify exact MPN,charger OUT bypass
1,yes,C11,10uF/6.3V X5R,C_0805_2012Metric,,,,generic specification; purchasing must qualify exact MPN,charger BAT bypass
1,yes,C12,100nF/16V X7R,C_0402_1005Metric,,,,generic specification; purchasing must qualify exact MPN,charger IN HF bypass
1,yes,C14,100nF/16V X7R,C_0402_1005Metric,,,,generic specification; purchasing must qualify exact MPN,VBUS local
1,yes,C13,100nF/16V X7R,C_0402_1005Metric,,,,generic specification; purchasing must qualify exact MPN,ADC filter
1,yes,D1,LED_GREEN,LED_0603_1608Metric,KP-1608SGC,Kingbright,"any 0603 green LED, Vf < 2.4 V at 0.5 mA","single-sourced, accepted risk for design exploration only; alternate is unqualified, do not substitute","status LED, active low"
1,yes,J1,USB-C 16P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,TYPE-C-31-M-12,HRO,GCT USB4085 (different land pattern - do not swap without relayout),"single-sourced, accepted risk for design exploration only; alternate is unqualified, do not substitute","USB-C receptacle, sink only, TH mounting lugs"
1,yes,J2,Molex PicoBlade 3P,Molex_PicoBlade_53261-0371_1x03-1MP_P1.25mm_Horizontal,53261-0371,Molex,single-sourced connector family; accepted for prototypes pending pack qualification,"single-sourced, accepted risk for design exploration only; alternate is unqualified, do not substitute","LP702040 pack: pin 1 GND(-), pin 2 PACK_TS/103AT-2, pin 3 VBAT(+)"
