Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22uF/6.3V X5R","C_0805_2012Metric",106.000000,-76.000000,90.000000,top
"C2","100nF/16V X7R","C_0402_1005Metric",106.750000,-78.500000,0.000000,top
"C3","1uF/16V X7R","C_0402_1005Metric",121.500000,-76.750000,90.000000,top
"C4","1uF/16V X7R","C_0402_1005Metric",122.000000,-66.500000,0.000000,top
"C5","100nF/16V X7R","C_0402_1005Metric",109.200000,-92.500000,0.000000,top
"C6","100nF/16V X7R","C_0402_1005Metric",119.500000,-92.300000,90.000000,top
"C7","4.7uF/10V X5R","C_0603_1608Metric",102.150000,-67.750000,0.000000,top
"C8","10uF/6.3V X5R","C_0603_1608Metric",105.650000,-72.250000,90.000000,top
"C9","10uF/16V X5R","C_0805_2012Metric",127.650000,-70.250000,90.000000,top
"C10","10uF/6.3V X5R","C_0805_2012Metric",124.150000,-75.000000,0.000000,top
"C11","10uF/6.3V X5R","C_0805_2012Metric",127.650000,-75.500000,0.000000,top
"C12","100nF/16V X7R","C_0402_1005Metric",121.650000,-69.250000,90.000000,top
"C13","100nF/16V X7R","C_0402_1005Metric",127.100000,-79.250000,0.000000,top
"C14","100nF/16V X7R","C_0402_1005Metric",103.500000,-90.500000,0.000000,top
"D1","LED_GREEN","LED_0603_1608Metric",111.300000,-82.000000,0.000000,top
"J1","USB-C 16P","USB_C_Receptacle_HRO_TYPE-C-31-M-12",105.500000,-84.500000,90.000000,top
"J2","JST-PH 2P","JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal",122.850000,-84.500000,90.000000,top
"L1","2.2uH","L_Murata_DFE201610P",103.400000,-73.200000,0.000000,top
"R1","10k 1%","R_0402_1005Metric",106.000000,-66.500000,0.000000,top
"R2","3k3 1%","R_0402_1005Metric",104.800000,-78.500000,0.000000,top
"R3","10k 1%","R_0402_1005Metric",108.000000,-91.300000,0.000000,top
"R4","10k 1%","R_0402_1005Metric",110.000000,-91.300000,0.000000,top
"R5","0R","R_0402_1005Metric",101.400000,-72.000000,90.000000,top
"R6","52k3 1%","R_0402_1005Metric",104.900000,-68.000000,0.000000,top
"R7","10k 1%","R_0402_1005Metric",121.650000,-73.250000,90.000000,top
"R8","100k 1%","R_0402_1005Metric",121.900000,-67.750000,0.000000,top
"R9","100k 1%","R_0402_1005Metric",123.150000,-73.250000,0.000000,top
"R10","100k 1%","R_0402_1005Metric",123.900000,-67.750000,0.000000,top
"R11","3k09 1%","R_0402_1005Metric",125.150000,-73.250000,0.000000,top
"R12","3k01 1%","R_0402_1005Metric",125.900000,-67.750000,0.000000,top
"R13","3k57 1%","R_0402_1005Metric",127.150000,-73.250000,90.000000,top
"R14","2M2 1%","R_0402_1005Metric",125.100000,-79.250000,0.000000,top
"R15","2M2 1%","R_0402_1005Metric",125.100000,-89.750000,0.000000,top
"R16","5k1 1%","R_0402_1005Metric",101.500000,-78.500000,0.000000,top
"R17","5k1 1%","R_0402_1005Metric",101.500000,-90.500000,0.000000,top
"SW1","SW_PROV","Panasonic_EVQPUJ_EVQPUA",113.700000,-88.000000,0.000000,top
"U1","ESP32-C6-MINI-1-N4","ESP32-C6-MINI-1",114.000000,-71.500000,0.000000,top
"U2","SHT45-AD1F","Sensirion_DFN-4_1.5x1.5mm_P0.8mm_SHT4x_NoCentralPad",116.000000,-92.300000,0.000000,top
"U3","TPS62840DLC","TI_DLC0008B_VSON-HR-8_2x1.5mm_P0.5mm",103.400000,-70.000000,0.000000,top
"U4","BQ24074RGTR","VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm",124.400000,-70.500000,0.000000,top
"U5","USBLC6-2SC6","SOT-23-6",115.500000,-82.000000,0.000000,top
